DANCe RAJ2000_1 RAJ2000_2 RAJ2000_3 DEJ2000_1 DEJ2000_2 DEJ2000_3 pmRA e_pmRA pmDE e_pmDE plx e_plx
J033951.16+251141.5 03 39 51.16 25 11 41.47 18.7 1.1 -43.3 1.0 7.2 1.2
J033955.20+241254.3 03 39 55.20 24 12 54.31 21.9 0.3 -46.4 0.2 7.9 1.2
J033957.15+260700.1 03 39 57.15 26 07 00.08 19.7 0.4 -47.3 0.3 7.8 1.2
J033957.85+255529.7 03 39 57.85 25 55 29.74 20.5 0.3 -47.2 0.2 7.9 1.2
J034000.19+232605.7 03 40 00.19 23 26 05.67 22.2 0.3 -47.6 0.3 8.1 1.3
J034001.84+250419.4 03 40 01.84 25 04 19.41 16.5 0.8 -42.6 0.8 7.0 1.1
J034001.86+244626.1 03 40 01.86 24 46 26.05 22.0 0.3 -46.3 0.2 7.8 1.2
J034003.14+254005.5 03 40 03.14 25 40 05.54 16.9 3.2 -38.5 3.2 6.4 1.2
J034005.98+254020.9 03 40 05.98 25 40 20.87 22.1 0.3 -46.3 0.3 7.8 1.2
J034006.21+280832.0 03 40 06.21 28 08 32.02 19.4 2.4 -44.4 2.4 7.4 1.2
J034006.82+251549.2 03 40 06.82 25 15 49.17 21.3 1.5 -40.3 1.5 6.9 1.2
J034007.00+223847.5 03 40 07.00 22 38 47.53 20.9 0.3 -45.2 0.2 7.7 1.2
J034007.11+241303.3 03 40 07.11 24 13 03.33 20.9 0.3 -45.7 0.2 7.7 1.2
J034009.68+231032.5 03 40 09.68 23 10 32.51 20.8 0.3 -46.0 0.2 7.8 1.2
J034010.49+214445.7 03 40 10.49 21 44 45.72 23.2 0.4 -47.4 0.3 8.1 1.3
J034010.70+254929.8 03 40 10.70 25 49 29.85 19.8 0.4 -43.6 0.3 7.3 1.2
J034010.93+260640.9 03 40 10.93 26 06 40.87 18.8 0.3 -42.5 0.2 7.1 1.2
J034011.05+252326.5 03 40 11.05 25 23 26.46 22.0 1.0 -43.2 1.0 7.4 1.2
J034011.92+255232.3 03 40 11.92 25 52 32.31 20.2 0.4 -43.4 0.3 7.3 1.2
J034011.98+214831.8 03 40 11.98 21 48 31.84 19.0 0.4 -38.1 0.3 6.6 1.1
J034012.74+230935.5 03 40 12.74 23 09 35.53 18.1 0.5 -40.6 0.4 6.8 1.1
J034014.92+251918.6 03 40 14.92 25 19 18.55 21.2 1.1 -43.1 1.0 7.3 1.2
J034015.26+283501.0 03 40 15.26 28 35 01.05 21.0 2.6 -44.4 2.6 7.5 1.3
J034016.66+275521.9 03 40 16.66 27 55 21.88 19.8 1.5 -41.4 1.5 7.0 1.2
J034018.85+235423.3 03 40 18.85 23 54 23.29 18.9 0.8 -46.5 0.8 7.7 1.2
J034023.06+252947.4 03 40 23.06 25 29 47.39 18.4 1.0 -46.0 0.9 7.6 1.2
J034023.84+230408.9 03 40 23.84 23 04 08.89 22.6 0.5 -43.7 0.4 7.6 1.2
J034024.19+243504.0 03 40 24.19 24 35 04.03 21.1 0.3 -44.4 0.2 7.5 1.2
J034025.62+240600.1 03 40 25.62 24 06 00.09 21.4 0.3 -47.0 0.2 7.9 1.3
J034026.09+243212.9 03 40 26.09 24 32 12.87 18.1 1.0 -44.4 1.0 7.3 1.2
J034026.28+232129.0 03 40 26.28 23 21 29.04 21.8 0.3 -43.3 0.2 7.4 1.2
J034026.40+240523.7 03 40 26.40 24 05 23.67 18.9 0.3 -41.7 0.2 7.0 1.1
J034026.96+241414.3 03 40 26.96 24 14 14.31 20.1 0.3 -43.6 0.2 7.4 1.2
J034027.93+241209.2 03 40 27.93 24 12 09.18 20.5 0.8 -44.2 0.7 7.5 1.2
J034028.57+233342.2 03 40 28.57 23 33 42.21 18.4 0.5 -43.6 0.4 7.3 1.2
J034031.17+250852.7 03 40 31.17 25 08 52.71 18.4 2.1 -38.5 2.1 6.5 1.1
J034031.50+233302.2 03 40 31.50 23 33 02.16 21.3 0.3 -46.8 0.2 7.9 1.3
J034032.38+195429.9 03 40 32.38 19 54 29.94 19.4 2.5 -38.3 2.4 6.7 1.2
J034032.59+252840.3 03 40 32.59 25 28 40.35 17.0 1.2 -45.3 1.2 7.4 1.2
J034035.51+231307.1 03 40 35.51 23 13 07.09 22.9 1.0 -45.2 1.0 7.8 1.2
J034037.83+212422.5 03 40 37.83 21 24 22.46 18.3 2.0 -46.7 1.9 7.7 1.3
J034038.10+263829.2 03 40 38.10 26 38 29.21 21.1 2.1 -43.3 2.1 7.3 1.2
J034039.46+232634.8 03 40 39.46 23 26 34.78 21.3 0.3 -44.5 0.3 7.6 1.2
J034040.04+244408.8 03 40 40.04 24 44 08.75 19.9 1.1 -47.1 1.1 7.8 1.3
